Time,Source,Destination,Delay_ms,Packet_Loss,Trust_Score,Failure_Type,Throughput_kbps,Signal_Strength,Bandwidth_kbps,Delivered,Label,EventID
4.7,R11,R09,8.315,0.4389,0.98951,None,534.404,0.4833,898.146,1,0,47
4.8,R04,R11,42.778,0.30673,0.98689,None,479.817,0.4292,1063.557,1,0,48
4.9,R06,R01,22.572,0.13771,0.98689,None,446.235,0.789,1003.483,1,0,49
5.0,R04,R01,26.757,0.02624,0.98951,None,496.249,0.4591,1060.021,1,0,50
5.1,R06,R07,52.085,0.0175,0.98951,None,519.052,0.4458,992.114,1,0,51
5.2,R05,R02,4.12,0.07098,0.97952,None,494.499,0.7898,1037.098,1,0,52
5.3,R04,R10,39.699,0.03734,0.99161,None,468.711,0.499,1014.774,1,0,53
5.4,R12,R06,5.064,0.0267,0.98362,None,491.149,0.4561,994.569,1,0,54
5.5,R04,R11,11.654,0.13178,0.99329,None,492.498,0.4887,984.349,1,0,55
5.6,R08,R07,3.39,0.00723,0.968,None,501.42,0.4714,958.605,1,0,56
5.7,R11,R08,9.554,0.09299,0.99161,None,542.051,0.4664,1051.329,1,0,57
5.8,R03,R05,13.914,0.0001,0.98951,None,515.113,0.4352,913.456,1,0,58
5.9,R03,R04,38.686,0.03608,0.99161,None,393.165,0.4547,1049.077,1,0,59
6.0,R12,R09,15.872,0.34267,0.98689,None,413.412,0.4619,1056.134,1,0,60
6.1,R09,R05,3.846,0.02115,0.97952,None,499.507,0.4923,1102.755,1,0,61
6.2,R12,R10,9.436,0.00944,0.98951,None,457.639,0.434,928.296,1,0,62
6.3,R07,R10,10.452,0.02896,0.98362,None,481.685,0.4721,1042.568,1,0,63
6.4,R07,R06,7.417,0.16561,0.98689,None,430.878,0.4714,968.674,1,0,64
6.5,R04,R03,2.109,0.09485,0.99463,None,440.483,0.4634,951.387,1,0,65
6.6,R09,R08,12.982,0.06019,0.98362,None,443.818,0.4265,946.937,1,0,66
6.7,R02,R01,7.217,0.02039,0.98689,None,516.423,0.8328,956.301,1,0,67
6.8,R02,R03,12.15,0.07129,0.98951,None,543.282,0.4463,1069.787,1,0,68
6.9,R11,R03,4.273,0.06566,0.99329,None,485.095,0.4326,977.095,1,0,69
7.0,R11,R07,7.383,0.00827,0.99463,None,458.193,0.431,874.862,1,0,70
7.1,R10,R02,21.067,0.02955,0.968,None,490.943,0.4378,1026.416,1,0,71
7.2,R07,R12,14.382,0.043,0.98951,None,449.531,0.4493,1013.988,1,0,72
7.3,R10,R08,1.36,0.02738,0.9744,None,511.909,0.6374,1139.189,1,0,73
7.4,R09,R05,3.357,0.00077,0.98689,None,510.41,0.482,963.833,1,0,74
7.5,R09,R01,85.377,0.03254,0.98951,None,483.576,0.43,1024.402,1,0,75
7.6,R11,R02,43.125,0.24857,0.99571,None,503.533,0.4373,1027.174,1,0,76
7.7,R11,R09,27.881,0.06258,0.99656,None,517.905,0.4579,966.179,1,0,77
7.8,R05,R11,2.046,0.04308,0.98362,None,480.642,0.4538,1044.621,1,0,78
7.9,R06,R02,13.151,0.4458,0.99161,None,463.985,0.4715,1048.296,1,0,79
8.0,R05,R07,13.009,0.24389,0.98689,None,447.32,0.4275,1075.489,1,0,80
8.1,R03,R08,16.804,0.15203,0.99329,None,462.214,0.4422,1048.193,1,0,81
8.2,R01,R05,26.545,0.18492,0.98362,None,491.239,0.4386,1008.53,1,0,82
8.3,R09,R03,23.771,0.03073,0.99161,None,585.743,0.4264,1089.108,1,0,83
8.4,R09,R02,19.535,0.28176,0.99329,None,434.41,0.4568,1009.194,1,0,84
8.5,R11,R05,13.198,0.1436,0.99725,None,500.958,0.4291,1053.55,1,0,85
8.6,R11,R09,7.643,0.0,0.9978,None,387.171,0.451,1063.506,1,0,86
8.7,R10,R04,6.329,0.07206,0.97952,None,474.039,0.4624,1040.222,1,0,87
8.8,R03,R06,10.743,0.04486,0.99463,None,500.667,0.4361,960.044,1,0,88
8.9,R03,R09,10.68,0.13942,0.99571,None,486.201,0.4277,1128.496,1,0,89
9.0,R09,R01,5.024,0.00052,0.99463,None,373.626,0.4551,941.124,1,0,90
9.1,R10,R06,14.339,0.00755,0.98362,None,501.111,0.4733,981.905,1,0,91
9.2,R08,R01,11.523,0.00542,0.9744,None,481.199,0.4423,1004.937,1,0,92
9.3,R02,R06,10.976,0.00801,0.99161,None,470.831,0.4792,1011.733,1,0,93
9.4,R05,R04,14.913,0.04452,0.98951,None,442.506,0.426,916.511,1,0,94
9.5,R01,R04,49.986,0.39521,0.98689,None,447.348,0.4693,1037.818,1,0,95
9.6,R10,R02,3.934,0.08471,0.98689,None,458.203,0.4823,1048.591,1,0,96
9.7,R02,R08,11.884,0.0767,0.99329,None,506.89,0.4355,935.578,1,0,97
9.8,R02,R09,13.206,0.03142,0.99463,None,508.704,0.4405,1081.027,1,0,98
9.9,R03,R12,42.794,0.10166,0.99656,None,512.264,0.5456,982.599,1,0,99
10.0,R11,R08,14.28,0.15359,0.99824,None,448.062,0.4789,1028.698,1,0,100
10.1,R09,R03,2.996,0.04442,0.99571,None,487.161,0.4273,1030.378,1,0,101
10.2,R05,R09,3.613,0.0014,0.99161,None,519.485,0.433,1008.992,1,0,102
10.3,R10,R07,9.32,0.10717,0.98951,None,463.985,0.485,945.611,1,0,103
10.4,R04,R09,25.625,0.13229,0.99571,None,470.95,0.8475,1040.835,1,0,104
10.5,R12,R04,19.984,0.11287,0.99161,None,505.318,0.8302,1040.924,1,0,105
10.6,R12,R05,13.559,0.0002,0.99329,None,471.469,0.4958,1056.453,1,0,106
10.7,R07,R11,11.423,0.34396,0.99161,None,500.041,0.4308,947.876,1,0,107
10.8,R11,R06,33.864,0.10196,0.99859,None,402.813,0.4489,1043.388,1,0,108
10.9,R08,R09,15.278,0.05885,0.97952,None,481.881,0.4998,1061.159,1,0,109
11.0,R08,R02,7.052,0.02272,0.98362,None,492.554,0.4826,915.909,1,0,110
11.1,R04,R12,2.984,0.14316,0.99656,None,447.809,0.8408,903.316,1,0,111
11.2,R02,R06,4.637,0.10788,0.99571,None,446.977,0.4959,1115.486,1,0,112
11.3,R01,R10,7.163,0.00362,0.98951,None,544.844,0.4423,974.123,1,0,113
11.4,R09,R04,7.545,0.00937,0.99656,None,473.275,0.8489,981.33,1,0,114
11.5,R10,R04,4.764,0.12032,0.99161,None,464.938,0.4418,1117.869,1,0,115
11.6,R01,R02,25.797,0.19588,0.99161,None,523.344,0.7422,912.573,1,0,116
11.7,R12,R11,4.455,0.02147,0.99463,None,479.669,0.8772,825.96,1,0,117
11.8,R01,R04,6.073,0.04259,0.99329,None,434.727,0.445,1012.001,1,0,118
11.9,R02,R01,15.556,0.07849,0.99656,None,508.6,0.821,1050.426,1,0,119
12.0,R06,R02,41.486,0.15654,0.99329,None,446.658,0.4371,1020.913,1,0,120
12.1,R09,R04,16.782,0.01716,0.99725,None,483.598,0.8166,1074.757,1,0,121
12.2,R05,R11,14.453,0.00193,0.99329,None,481.918,0.4724,1008.777,1,0,122
12.3,R08,R04,16.891,0.00117,0.98689,None,486.986,0.4509,975.993,1,0,123
12.4,R09,R03,13.494,0.20172,0.9978,None,458.968,0.4267,993.448,1,0,124
12.5,R12,R10,2.391,0.17064,0.99571,None,430.805,0.4846,991.113,1,0,125
12.6,R10,R08,5.382,0.00106,0.99329,None,471.103,0.7238,942.652,1,0,126
12.7,R04,R08,53.373,0.05501,0.99725,None,515.916,0.4422,989.672,1,0,127
12.8,R07,R04,4.476,0.13467,0.99329,None,490.787,0.8254,988.497,1,0,128
12.9,R02,R12,19.217,0.11698,0.99725,None,529.968,0.4611,1024.57,1,0,129
13.0,R11,R07,7.091,0.00411,0.99887,None,416.344,0.4848,1028.235,1,0,130
13.1,R06,R07,8.525,8e-05,0.99463,None,578.891,0.4469,975.207,1,0,131
13.2,R07,R08,22.843,0.12792,0.99463,None,469.467,0.499,979.836,1,0,132
13.3,R12,R01,12.147,0.13487,0.99656,None,444.947,0.6553,1001.883,1,0,133
13.4,R11,R12,5.467,0.07428,0.9991,None,460.261,0.7973,977.751,1,0,134
13.5,R11,R02,37.318,0.00014,0.99928,None,552.479,0.4903,1017.896,1,0,135
13.6,R01,R07,24.932,0.01831,0.99463,None,484.581,0.4863,1047.507,1,0,136
13.7,R12,R06,64.085,0.077,0.99725,None,438.737,0.4842,973.535,1,0,137
13.8,R02,R04,11.947,0.02761,0.9978,None,434.887,0.476,1028.214,1,0,138
13.9,R04,R12,9.915,0.41615,0.9978,None,405.427,0.8513,954.92,1,0,139
14.0,R09,R08,14.579,0.02563,0.99824,None,414.682,0.4694,971.362,1,0,140
14.1,R03,R07,39.695,0.07368,0.99725,None,492.952,0.4619,985.426,1,0,141
14.2,R03,R05,18.819,0.04826,0.9978,None,433.777,0.4543,1015.961,1,0,142
14.3,R08,R04,4.324,0.09495,0.98951,None,417.764,0.4305,986.38,1,0,143
14.4,R02,R08,12.955,0.04505,0.99824,None,505.957,0.478,930.4,1,0,144
14.5,R09,R02,9.217,0.00034,0.99859,None,528.58,0.4854,995.524,1,0,145
14.6,R01,R11,27.778,0.00808,0.99571,None,481.935,0.4952,965.623,1,0,146
14.7,R09,R01,21.892,0.02176,0.99887,None,485.574,0.4901,1022.627,1,0,147
14.8,R02,R04,27.07,0.23233,0.99859,None,442.461,0.4755,1032.213,1,0,148
14.9,R03,R07,7.396,0.11828,0.99824,None,478.764,0.4713,1100.17,1,0,149
15.0,R08,R12,14.309,0.00013,0.99161,None,436.934,0.4744,1033.42,1,0,150
15.1,R04,R07,45.004,0.00158,0.99824,None,469.905,0.7985,1028.22,1,0,151
15.2,R01,R03,16.191,0.02185,0.99656,None,502.798,0.4848,1064.488,1,0,152
15.3,R07,R01,9.884,0.00595,0.99571,None,414.25,0.4541,922.364,1,0,153
15.4,R07,R05,9.556,0.02688,0.99656,None,451.995,0.4715,887.545,1,0,154
15.5,R08,R05,7.054,0.2601,0.99329,None,479.203,0.4535,1072.269,1,0,155
15.6,R07,R09,2.831,0.04346,0.99725,None,503.019,0.4967,987.366,1,0,156
15.7,R11,R08,16.671,0.33338,0.99942,None,441.986,0.4464,1048.545,1,0,157
15.8,R03,R04,7.434,0.0323,0.99859,None,510.923,0.456,993.287,1,0,158
15.9,R05,R04,10.725,0.0504,0.99463,None,488.891,0.4675,1069.871,1,0,159
16.0,R01,R10,11.472,0.05219,0.99725,None,495.359,0.4421,1024.982,1,0,160
16.1,R12,R09,4.318,0.0396,0.9978,None,510.055,0.4835,1040.145,1,0,161
16.2,R01,R06,7.781,0.03336,0.9978,None,448.719,0.8376,1026.218,1,0,162
16.3,R01,R12,6.767,0.14355,0.99824,None,544.936,0.6424,1072.975,1,0,163
16.4,R10,R08,3.164,0.04206,0.99463,None,449.108,0.6674,1048.819,1,0,164
16.5,R09,R12,29.466,0.00548,0.9991,None,502.534,0.4314,944.961,1,0,165
16.6,R03,R01,6.896,0.11234,0.99887,None,484.342,0.465,941.37,1,0,166
16.7,R09,R02,4.541,0.07313,0.99928,None,557.862,0.4599,1004.822,1,0,167
16.8,R03,R02,7.066,0.15595,0.9991,None,483.251,0.4817,1065.7,1,0,168
16.9,R10,R02,4.611,0.19915,0.99571,None,423.714,0.4994,1003.65,1,0,169
17.0,R11,R04,22.739,0.26402,0.99954,None,489.014,0.4346,1025.187,1,0,170
17.1,R07,R02,19.412,0.02705,0.9978,None,470.445,0.4665,957.595,1,0,171
17.2,R10,R04,3.384,0.02891,0.99656,None,481.251,0.4994,980.758,1,0,172
17.3,R10,R12,17.658,0.14367,0.99725,None,503.984,0.4311,940.604,1,0,173
17.4,R01,R10,9.185,0.10462,0.99859,None,486.82,0.4349,1123.244,1,0,174
17.5,R02,R07,9.582,0.42039,0.99887,None,482.558,0.4526,1025.388,1,0,175
17.6,R11,R10,12.72,0.19049,0.99963,None,491.731,0.6604,1027.006,1,0,176
17.7,R10,R09,4.367,0.12145,0.9978,None,477.494,0.4293,971.818,1,0,177
17.8,R06,R05,8.769,0.00275,0.99571,None,454.883,0.5568,923.285,1,0,178
17.9,R04,R11,25.278,0.13026,0.99859,None,471.642,0.4587,974.645,1,0,179
18.0,R12,R06,4.774,0.02448,0.99824,None,510.488,0.4562,980.422,1,0,180
18.1,R04,R05,12.035,0.01357,0.99887,None,435.255,0.4259,950.295,1,0,181
18.2,R07,R03,11.885,0.10676,0.99824,None,478.396,0.4803,884.865,1,0,182
18.3,R11,R12,8.534,0.02847,0.9997,None,488.284,0.8916,1057.116,1,0,183
18.4,R05,R08,4.97,0.04101,0.99571,None,516.854,0.4745,1013.827,1,0,184
18.5,R06,R02,23.095,0.1389,0.99656,None,483.602,0.4787,959.875,1,0,185
18.6,R01,R08,34.434,0.01377,0.99887,None,526.313,0.4381,1014.127,1,0,186
18.7,R10,R12,6.915,0.1117,0.99824,None,532.446,0.4404,1014.059,1,0,187
18.8,R02,R12,5.81,0.18669,0.9991,None,481.544,0.4849,1072.781,1,0,188
18.9,R09,R04,51.389,0.18864,0.99942,None,494.368,0.8547,970.261,1,0,189
19.0,R09,R05,4.371,0.03001,0.99954,None,485.908,0.4341,1010.524,1,0,190
19.1,R03,R06,10.68,0.07785,0.99928,None,490.636,0.4939,1041.878,1,0,191
19.2,R02,R04,6.354,0.02998,0.99928,None,509.378,0.4383,1016.314,1,0,192
19.3,R06,R05,12.482,0.00407,0.99725,None,503.116,0.5565,1024.722,1,0,193
19.4,R03,R08,21.734,0.15223,0.99942,None,483.137,0.4767,1016.433,1,0,194
19.5,R09,R05,25.033,0.15417,0.99963,None,479.215,0.4795,1064.399,1,0,195
19.6,R10,R11,8.686,0.00646,0.99859,None,537.86,0.6305,1013.899,1,0,196
19.7,R09,R01,39.011,1e-05,0.9997,None,435.748,0.4479,959.141,1,0,197
19.8,R11,R09,2.281,0.25148,0.99976,None,538.288,0.4772,1058.327,1,0,198
19.9,R05,R11,7.703,0.00077,0.99656,None,468.159,0.4685,1093.066,1,0,199
20.0,R02,R03,55.108,0.09926,0.99942,None,513.114,0.4624,1055.795,1,0,200
20.1,R05,R02,7.247,0.40331,0.99725,None,512.037,0.7455,957.837,1,0,201
20.2,R02,R09,10.933,0.00947,0.99954,None,503.07,0.4727,982.519,1,0,202
20.3,R03,R05,15.019,0.02118,0.99954,None,402.506,0.4388,929.459,1,0,203
20.4,R05,R10,4.761,0.00019,0.9978,None,510.858,0.4474,1051.648,1,0,204
20.5,R04,R06,10.423,0.21348,0.9991,None,535.62,0.435,1010.284,1,0,205
20.6,R04,R11,9.0,0.03452,0.99928,None,511.124,0.4708,1019.765,1,0,206
20.7,R11,R05,7.7,0.14217,0.99981,None,444.302,0.493,957.986,1,0,207
20.8,R09,R08,5.823,0.17153,0.99976,None,479.439,0.493,1005.082,1,0,208
20.9,R05,R01,4.929,0.03135,0.99824,None,483.493,0.4953,994.523,1,0,209
21.0,R02,R11,7.514,0.02485,0.99963,None,502.682,0.4598,1004.0,1,0,210
21.1,R07,R05,16.092,0.00369,0.99859,None,462.017,0.4643,985.223,1,0,211
21.2,R01,R12,13.761,0.11627,0.9991,None,446.839,0.6352,977.581,1,0,212
21.3,R06,R03,60.825,0.04896,0.9978,None,482.951,0.4855,967.638,1,0,213
21.4,R11,R05,11.622,0.20606,0.99985,None,459.583,0.4818,927.694,1,0,214
21.5,R03,R08,13.144,0.26964,0.99963,None,500.457,0.4989,996.948,1,0,215
21.6,R09,R07,6.762,0.38998,0.99981,None,479.784,0.4867,1065.474,1,0,216
21.7,R09,R01,7.733,0.04758,0.99985,None,534.737,0.4848,1038.27,1,0,217
21.8,R02,R12,10.449,0.07709,0.9997,None,462.89,0.4458,972.675,1,0,218
21.9,R12,R03,8.064,0.2769,0.99859,None,433.472,0.5072,1009.576,1,0,219
22.0,R09,R01,14.776,0.04626,0.99988,None,478.199,0.4726,940.549,1,0,220
22.1,R06,R10,9.932,2e-05,0.99824,None,488.958,0.431,959.731,1,0,221
22.2,R09,R03,19.632,0.11567,0.9999,None,494.031,0.4603,991.73,1,0,222
22.3,R07,R03,34.632,0.0337,0.99887,None,519.708,0.4784,971.736,1,0,223
22.4,R01,R05,8.771,0.01823,0.99928,None,530.282,0.4514,994.849,1,0,224
22.5,R06,R01,32.463,0.00205,0.99859,None,435.145,0.7825,979.897,1,0,225
22.6,R06,R04,18.53,0.11916,0.99887,None,520.502,0.4479,1051.434,1,0,226
22.7,R11,R04,4.249,0.27162,0.99988,None,506.698,0.4445,1013.635,1,0,227
22.8,R11,R02,20.498,0.0386,0.9999,None,524.024,0.4983,990.623,1,0,228
22.9,R06,R09,5.731,0.00042,0.9991,None,496.867,0.4469,1009.799,1,0,229
23.0,R07,R10,15.699,0.12071,0.9991,None,458.93,0.4905,1016.976,1,0,230
23.1,R12,R03,7.267,0.09964,0.99887,None,511.169,0.5653,1021.416,1,0,231
23.2,R04,R03,25.011,0.05348,0.99942,None,454.027,0.4687,963.311,1,0,232
23.3,R03,R07,12.539,0.17141,0.9997,None,505.677,0.4909,1032.664,1,0,233
23.4,R01,R03,104.588,0.02102,0.99942,None,465.919,0.4919,1105.26,1,0,234
23.5,R12,R06,5.001,0.13191,0.9991,None,511.315,0.4328,987.171,1,0,235
23.6,R07,R11,1.782,0.05098,0.99928,None,504.446,0.4726,994.723,1,0,236
23.7,R12,R04,10.512,0.03018,0.99928,None,397.286,0.8851,955.283,1,0,237
23.8,R05,R03,7.131,1e-05,0.99859,None,456.899,0.4635,1018.868,1,0,238
23.9,R12,R02,10.545,0.02511,0.99942,None,523.046,0.4995,980.044,1,0,239
24.0,R07,R01,7.226,0.0227,0.99942,None,472.741,0.4706,1046.062,1,0,240
24.1,R08,R04,7.894,0.36818,0.99463,None,455.409,0.4336,958.385,1,0,241
24.2,R04,R08,2.081,0.02907,0.99954,None,473.268,0.4759,1058.809,1,0,242
24.3,R06,R05,3.043,2e-05,0.99928,None,510.358,0.5761,1002.918,1,0,243
24.4,R04,R12,6.714,0.01334,0.99963,None,460.574,0.8163,902.03,1,0,244
24.5,R01,R11,21.892,0.10148,0.99954,None,513.824,0.4755,952.807,1,0,245
24.6,R04,R07,5.075,0.12812,0.9997,None,499.548,0.8433,909.035,1,0,246
24.7,R06,R05,6.997,0.03722,0.99942,None,511.183,0.5446,987.337,1,0,247
24.8,R02,R05,4.611,0.00702,0.99976,None,462.794,0.785,929.367,1,0,248
24.9,R06,R11,32.158,0.00069,0.99954,None,432.664,0.4523,1094.569,1,0,249
25.0,R09,R07,8.418,0.0042,0.99992,None,460.972,0.4538,945.093,1,0,250
25.1,R11,R09,9.121,0.00031,0.99992,None,465.801,0.4337,995.328,1,0,251
25.2,R06,R01,14.632,0.4303,0.99963,None,420.549,0.8316,1009.165,1,0,252
25.3,R02,R05,4.739,0.06559,0.99981,None,529.109,0.7369,936.927,1,0,253
25.4,R03,R10,6.098,0.32635,0.99976,None,407.011,0.4583,989.736,1,0,254
25.5,R05,R01,78.833,0.02942,0.99887,None,515.979,0.4715,977.604,1,0,255
25.6,R02,R10,4.39,0.00075,0.99985,None,489.637,0.4932,1013.294,1,0,256
25.7,R07,R06,50.164,0.25955,0.99954,None,491.205,0.4457,993.769,1,0,257
25.8,R12,R06,4.768,0.37673,0.99954,None,446.29,0.4821,1012.024,1,0,258
25.9,R07,R10,1.758,0.03033,0.99963,None,466.524,0.468,1058.29,1,0,259
26.0,R09,R02,10.344,0.11387,0.99994,None,487.691,0.4264,1097.853,1,0,260
26.1,R07,R10,10.043,0.14139,0.9997,None,450.117,0.4853,955.283,1,0,261
26.2,R04,R05,7.049,0.15431,0.99976,None,508.626,0.4815,1034.855,1,0,262
26.3,R01,R07,31.373,0.19491,0.99963,None,488.473,0.4308,917.987,1,0,263
26.4,R01,R09,3.3,0.00089,0.9997,None,474.609,0.4304,1001.51,1,0,264
26.5,R09,R11,19.824,0.05519,0.99995,None,483.301,0.4552,950.099,1,0,265
26.6,R12,R11,6.614,0.01787,0.99963,None,508.029,0.8273,922.96,1,0,266
26.7,R04,R06,10.957,0.18644,0.99981,None,528.125,0.4342,1000.398,1,0,267
26.8,R07,R02,27.193,0.05605,0.99976,None,487.564,0.4431,1042.169,1,0,268
26.9,R11,R06,19.059,0.26581,0.99994,None,482.611,0.4454,908.333,1,0,269
27.0,R10,R06,11.912,0.00518,0.99887,None,480.615,0.478,957.078,1,0,270
27.1,R11,R02,29.978,0.00161,0.99995,None,460.472,0.4842,992.02,1,0,271
27.2,R12,R05,25.945,0.2892,0.9997,None,559.268,0.4725,1026.112,1,0,272
27.3,R09,R05,6.34,0.15265,0.99996,None,522.339,0.4836,978.095,1,0,273
27.4,R11,R07,13.624,0.13474,0.99996,None,480.676,0.4407,929.772,1,0,274
27.5,R06,R07,3.923,0.00035,0.9997,None,467.196,0.4409,981.47,1,0,275
27.6,R12,R05,65.565,0.17206,0.99976,None,544.09,0.4352,1063.73,1,0,276
27.7,R09,R03,23.291,0.0111,0.99997,None,449.544,0.4918,956.076,1,0,277
27.8,R04,R07,3.935,0.00185,0.99985,None,484.761,0.7278,923.734,1,0,278
27.9,R11,R07,4.918,9e-05,0.99997,None,374.448,0.4648,996.131,1,0,279
28.0,R11,R03,12.33,0.02006,0.99997,None,488.653,0.483,1006.038,1,0,280
28.1,R10,R12,42.016,7e-05,0.9991,None,487.689,0.4263,1049.043,1,0,281
28.2,R05,R07,6.728,0.03623,0.9991,None,425.942,0.4885,1033.511,1,0,282
28.3,R09,R01,20.938,0.05151,0.99997,None,472.815,0.4435,1083.574,1,0,283
28.4,R05,R12,11.178,0.33712,0.99928,None,482.065,0.4524,966.893,1,0,284
28.5,R04,R07,7.552,0.00355,0.99988,None,536.52,0.8298,935.094,1,0,285
28.6,R10,R12,43.055,0.07614,0.99928,None,470.529,0.4602,1016.503,1,0,286
28.7,R11,R06,20.004,0.00144,0.99998,None,473.767,0.4647,1000.19,1,0,287
28.8,R08,R12,3.317,0.07198,0.99571,None,455.295,0.466,971.815,1,0,288
28.9,R08,R11,11.4,0.00479,0.99656,None,494.844,0.497,1002.398,1,0,289
29.0,R04,R09,15.887,0.0201,0.9999,None,486.282,0.8616,1027.435,1,0,290
29.1,R08,R03,7.653,0.27714,0.99725,None,502.884,0.4818,995.756,1,0,291
29.2,R11,R02,4.506,0.06891,0.99998,None,527.011,0.4674,999.682,1,0,292
29.3,R05,R09,42.513,2e-05,0.99942,None,471.701,0.4726,965.216,1,0,293
29.4,R11,R12,5.117,0.21654,0.99999,None,445.083,0.8493,960.191,1,0,294
29.5,R10,R06,15.978,0.03467,0.99942,None,415.87,0.4939,1005.026,1,0,295
29.6,R02,R04,19.496,0.02226,0.99988,None,416.815,0.4742,964.496,1,0,296
29.7,R11,R05,7.552,0.04741,0.99999,None,472.423,0.4963,922.988,1,0,297
29.8,R04,R12,59.544,0.09912,0.99992,None,518.315,0.9251,1070.553,1,0,298
29.9,R03,R01,8.808,0.03889,0.99981,None,426.98,0.4499,981.688,1,0,299
30.0,R01,R04,17.376,0.00108,0.99976,None,508.386,0.4858,976.072,1,0,300
30.1,R08,R10,26.211,0.16074,0.9978,None,496.906,0.6795,971.356,1,0,301
30.2,R02,R08,3.211,0.00022,0.9999,None,377.665,0.498,963.424,1,0,302
30.3,R07,R11,5.373,0.01167,0.99981,None,512.822,0.4567,946.885,1,0,303
30.4,R10,R04,4.671,0.13892,0.99954,None,434.582,0.4855,1072.987,1,0,304
